Arquivo,Bubblesort,Selectionsort,Insertionsort,Shellsort,Mergesort-BottomUp,Mergesort-Híbrido,Quicksort,QuickSort Aleatorizado,Heapsort
nomes100k.txt,,156779.67810630798,,,,,,,
nomes100k.txt,,179875.337600708,,,,,,,
nomes100k.txt,,177692.78526306152,,,,,,,
nomes100k.txt,,162251.85298919678,,,,,,,
nomes100k.txt,,,,,224.59077835083008,137.18366622924805,121.3676929473877,129.87375259399414,
nomes100k.txt,,,,,229.64239120483398,133.18419456481934,125.14925003051758,130.06234169006348,
nomes100k.txt,,,,,218.45269203186035,136.52420043945312,120.82219123840332,128.53121757507324,
nomes100k.txt,,,,,224.03860092163086,138.1232738494873,120.33581733703613,139.11890983581543,
nomes100k.txt,,,,,230.43251037597656,131.4709186553955,123.05259704589844,130.42545318603516,
nomes250k.txt,,,,,599.8830795288086,354.39062118530273,370.77808380126953,385.54906845092773,
nomes250k.txt,,,,,610.4013919830322,373.37565422058105,372.29347229003906,375.7293224334717,
nomes250k.txt,,,,,602.8459072113037,376.8596649169922,379.1835308074951,389.3911838531494,
nomes250k.txt,,,,,585.5634212493896,361.55033111572266,394.78373527526855,385.15162467956543,
